time,open,high,low,close,Volume
2021-12-16T16:00:00+08:00,17829,17844,17819,17838,1985
2021-12-16T17:00:00+08:00,17839,17839,17826,17833,986
2021-12-16T18:00:00+08:00,17834,17843,17827,17842,675
2021-12-16T19:00:00+08:00,17842,17850,17837,17843,1569
2021-12-16T20:00:00+08:00,17843,17843,17823,17830,1607
2021-12-16T21:00:00+08:00,17830,17833,17818,17825,1492
2021-12-16T22:00:00+08:00,17825,17848,17803,17805,5540
2021-12-16T23:00:00+08:00,17806,17820,17791,17805,4214
2021-12-17T00:00:00+08:00,17805,17807,17759,17761,4557
2021-12-17T01:00:00+08:00,17761,17768,17725,17726,4244
2021-12-17T02:00:00+08:00,17725,17766,17721,17738,2249
2021-12-17T03:00:00+08:00,17737,17745,17686,17696,3076
2021-12-17T04:00:00+08:00,17694,17728,17675,17702,3558
2021-12-17T08:45:00+08:00,17716,17784,17710,17769,24021
2021-12-17T09:45:00+08:00,17770,17798,17759,17782,12839
2021-12-17T10:45:00+08:00,17782,17784,17723,17739,13230
2021-12-17T11:45:00+08:00,17737,17754,17703,17750,11532
2021-12-17T12:45:00+08:00,17751,17788,17740,17785,16861
2021-12-17T15:00:00+08:00,17786,17797,17774,17790,2547
2021-12-17T16:00:00+08:00,17789,17808,17778,17783,2556
2021-12-17T17:00:00+08:00,17782,17784,17751,17772,3531
2021-12-17T18:00:00+08:00,17772,17777,17748,17764,1393
2021-12-17T19:00:00+08:00,17764,17776,17757,17776,1053
2021-12-17T20:00:00+08:00,17776,17787,17750,17760,2271
2021-12-17T21:00:00+08:00,17761,17770,17751,17765,1631
2021-12-17T22:00:00+08:00,17764,17779,17736,17765,5645
2021-12-17T23:00:00+08:00,17765,17796,17731,17787,6778
2021-12-18T00:00:00+08:00,17786,17803,17747,17769,4671
2021-12-18T01:00:00+08:00,17768,17785,17745,17771,2245
2021-12-18T02:00:00+08:00,17772,17790,17763,17788,1197
2021-12-18T03:00:00+08:00,17789,17793,17770,17781,1125
2021-12-18T04:00:00+08:00,17781,17790,17751,17755,1869
2021-12-20T08:45:00+08:00,17720,17748,17653,17720,28753
2021-12-20T09:45:00+08:00,17720,17746,17597,17606,33397
2021-12-20T10:45:00+08:00,17607,17609,17564,17585,15541
2021-12-20T11:45:00+08:00,17586,17640,17578,17622,10211
2021-12-20T12:45:00+08:00,17622,17646,17577,17579,15708
2021-12-20T15:00:00+08:00,17550,17560,17512,17540,5925
2021-12-20T16:00:00+08:00,17540,17543,17508,17520,4553
2021-12-20T17:00:00+08:00,17520,17534,17495,17534,4012
